İlçe ,Tıbbi Atık Miktarı,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Adalar,Miktar (ton),0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,3,3
Arnavutköy,Miktar (ton),32,46,54,63,70,,7,23,49,50,69,93,102,107,129,127,170,78,153
Ataşehir,Miktar (ton),317,382,365,444,471,,267,135.84,164.16,175,541.93,947,871,928,899,947,954,"1,272","1,351"
Avcılar,Miktar (ton),124,162,182,206,202,219,236,207.76,230.49,258,302.88,368,356,347,328,379,406,172,368
Bahçelievler,Miktar (ton),303,324,380,505,666,695,722,733.1,809.925,"1,090",1052.07,"1,089",591,579,"1,180","1,250","1,313",728,"1,791"
Bağcılar,Miktar (ton),124,148,162,198,274,381,566,527,666,"1,101","1,265","1,691","1,710","1,882","1,761","1,863","1,990",952,"1,467"
Bakırköy,Miktar (ton),553,573,628,714,776,920,1060,804.97,1103.417,824.903,926.51,"1,050","1,581","1,598","1,170",966,"1,222",752,"1,191"
Başakşehir,Miktar (ton),23,27,31,38,41,0,29,26.42,33.905,32,32,122,130,134,121,126,548,735,"1,756"
Bayrampaşa,Miktar (ton),14,15,16,13,15,16,22,27.16,29.51,32,65,207,341,468,480,495,568,343,792
Beşiktaş,Miktar (ton),164,124,116,112,113,110,135,207.27,235.269,326,341,aa,608,655,639,616,539,331,911
Beykoz,Miktar (ton),50,52,54,56,56,84,94,104.66,147.134,168,213,147,250,264,291,282,266,266,337
Beylikdüzü,Miktar (ton),0,6,8,12,14,,,215.45,216.63,268,371,436,423,482,501,533,572,318,619
Beyoğlu,Miktar (ton),198,203,213,206,219,217,197,181.36,204.086,231,58,101,170,209,227,248,395,244,362
Büyükçekmece,Miktar (ton),0,21,31,46,98,192,299,37.24,43.015,66,113.26,110,114,98,90,146,244,148,350
Çatalca,Miktar (ton),0,9,10,11,12,16,22,14,12,18,15,20,37,43,37,38,54,36,48
Çekmeköy,Miktar (ton),9,22,34,58,63,0,0,0,0,4,0.04,107,44,57,68,81,164,170,166
Esenler,Miktar (ton),61,81,99,151,179,188,186,163.27,190.937,236,177,305,312,323,314,320,323,164,289
Esenyurt,Miktar (ton),0,0,0,0,9,28,65,70.34,77.71,83,166.73,357,344,557,515,635,666,364,760
Eyüp,Miktar (ton),35,30,40,40,40,40,46,59.69,60.395,78,77.19,114,134,116,106,109,141,107,211
Fatih,Miktar (ton),"1,506","1,587","1,600","1,770","1,979","2,071","2,104","1,944","2,119","2,009","2,100","2,604","2,719","2,908","2,780","2,562","2,490","1,297","2,503"
Gaziosmanpaşa,Miktar (ton),263,353,422,492,591,601,557,495.3,499.917,557,785.85,946,"1,140","1,240","1,178","1,244","1,375",677,"1,362"
Güngören,Miktar (ton),79,90,101,109,124,114,152,129.15,131.18,193,152.80,209,177,180,189,188,181,93,175
Kadıköy,Miktar (ton),747,958,882,1092,1377,1417,1234,1393,1528.81,"1,589","1,323.5","1,269","1,146","1,385","1,532","1,502","1,565","1,869","1,856"
Kağıthane,Miktar (ton),26,25,29,54,75,79,83,61.48,70.557,100,81.39,234,309,353,319,295,287,160,463
Kartal,Miktar (ton),542,457,676,712,792,835,910,864.44,881.035,891,"1,004.95","1,143","1,188","1,254","1,220","1,276","1,428","1,627","1,664"
Küçükçekmece,Miktar (ton),101,112,125,137,146,155,255,417.97,636.32,739.283,"1,080.88","1,283",965,"1,066","1,401","1,420","1,560",820,"1,791"
Maltepe,Miktar (ton),161,192,239,313,361,356,411,417.53,391.754,468,463.167,579,680,771,933,883,"1,171","1,207","1,291"
Pendik,Miktar (ton),30,62,61,72,132,169,363,515.87,841.29,996,"1,123.84","1,273","1,367","1,421","1,558","1,546","1,475","1,658","1,633"
Sancaktepe,Miktar (ton),113,113,169,204,219,0,0,0,17.66,19,38.85,128,117,155,217,238,563,854,634
Sarıyer,Miktar (ton),41,48,61,81,80,186,288,302,329.286,321,352.16,548,631,634,677,988,"1,001",504,"1,629"
Silivri,Miktar (ton),0,68,71,62,40,78,180,147.32,152.744,181,187.99,181,183,196,212,224,298,152,269
Sultanbeyli,Miktar (ton),0,60,72,103,131,141,153,144,155,164,173,200,191,201,220,286,309,306,304
Sultangazi,Miktar (ton),112,150,179,209,234,,125,109.13,125.166,174,170.44,195,168,191,181,361,701,395,792
Şile,Miktar (ton),0,5,6,3,0,0,0,0,0,0,0,63.435,13,12,14,13,19,26,21
Şişli,Miktar (ton),986,"1,278","1,344","1,442","1,488","1,500","1,567","1,494","1,565","1,713","1,966","2,366","2,448","2,628","2,409","2,599","2,758","1,518","2,395"
Tuzla,Miktar (ton),0,0,5,11,11,29,45,39,51,73,44,183,235,261,362,412,457,492,555
Ümraniye,Miktar (ton),57,145,222,378,335,377,424,403,421,471,466,692,742,899,987,"1,017","1,094","1,182","1,159"
Üsküdar,Miktar (ton),"1,263","1,321","1,232","1,306","1,458","1,622","1,413","1,264","1,238","1,304","1,386","1,423","1,508","1,731","2,048","2,023","2,072","2,198","2,209"
Zeytinburnu,Miktar (ton),245,298,370,451,451,482,480,476.65,511.476,533,580.88,744,668,735,873,822,802,346,691
