,HISTORY,HOSPITALS,CITIES,TOTAL QUOATA,VACANT,LOWEST POINT,HIGHEST POINT,REGIONS
393,1.12.2020,Gelendost İlçe Devlet Hast.,Isparta,1,0,"78,36","78,36",Akdeniz Bölgesi
394,1.12.2020,Uluborlu İlçe Devlet Hast.,Isparta,1,0,"78,56","78,56",Akdeniz Bölgesi
395,1.12.2020,Sütçüler İlçe Devlet Hast.,Isparta,1,0,"78,94","78,94",Akdeniz Bölgesi
396,1.12.2020,Senirkent İlçe Devlet Hast.,Isparta,1,0,"79,03","79,03",Akdeniz Bölgesi
397,1.12.2020,Yalvaç Devlet Hast.,Isparta,2,0,"80,29","80,68",Akdeniz Bölgesi
398,1.12.2020,Isparta Yenişarbademli TSM.,Isparta,1,0,"80,88","80,88",Akdeniz Bölgesi
399,1.12.2020,Isparta Aksu TSM.,Isparta,2,0,"80,96","81,37",Akdeniz Bölgesi
400,1.12.2020,Eğirdir Kemik Eklem Hastal.Tedavi ve Reh. Hastanesi,Isparta,2,0,"83,42","83,58",Akdeniz Bölgesi
401,1.12.2020,Isparta Şehir Hast.,Isparta,4,0,"87,06","87,48",Akdeniz Bölgesi
402,1.12.2020,Tufanbeyli Devlet Hast.,Adana,4,0,"78,44","80,78",Akdeniz Bölgesi
403,1.12.2020,İmamoğlu Devlet Hast.,Adana,3,0,"80,08","85,95",Akdeniz Bölgesi
404,1.12.2020,Adana Yüreğir Devlet Hast.,Adana,20,0,"80,23","80,93",Akdeniz Bölgesi
405,1.12.2020,Adana Şehir Hast.,Adana,85,0,"80,53","89,61",Akdeniz Bölgesi
406,1.12.2020,Adana Dr.Ekrem Tok Ruh Sağ.ve Has. Hastanesi,Adana,8,0,"81,17","86,3",Akdeniz Bölgesi
407,1.12.2020,Adana Seyhan Devlet Hast.,Adana,38,0,"81,66","91,93",Akdeniz Bölgesi
435,1.12.2020,Reyhanlı Devlet Hast.,Hatay,6,0,"79,2","80,44",Akdeniz Bölgesi
436,1.12.2020,Altınözü Devlet Hast.,Hatay,2,0,"80,71","81,23",Akdeniz Bölgesi
437,1.12.2020,Hatay Devlet Hast.,Hatay,32,0,"80,78","89,2",Akdeniz Bölgesi
438,1.12.2020,Hassa Devlet Hast.,Hatay,2,0,"81,48","82,43",Akdeniz Bölgesi
439,1.12.2020,Samandağ Devlet Hast.,Hatay,3,0,"82,44","86,35",Akdeniz Bölgesi
440,1.12.2020,Kumlu İlçe Devlet Hast.,Hatay,1,0,"82,46","82,46",Akdeniz Bölgesi
441,1.12.2020,Kırıkhan Devlet Hast.,Hatay,6,0,"82,65",88,Akdeniz Bölgesi
442,1.12.2020,Yayladağı Devlet Hast.,Hatay,1,0,"82,85","82,85",Akdeniz Bölgesi
443,1.12.2020,İskenderun Devlet Hast.,Hatay,11,0,"82,93","86,22",Akdeniz Bölgesi
444,1.12.2020,Erzin Devlet Hast.,Hatay,1,0,"83,44","83,44",Akdeniz Bölgesi
445,1.12.2020,Hatay İl Sağlık Müd.,Hatay,3,0,"83,6","88,16",Akdeniz Bölgesi
446,1.12.2020,Dörtyol Devlet Hast.,Hatay,1,0,"84,35","84,35",Akdeniz Bölgesi
493,1.12.2020,Gündoğmuş İlçe Devlet Hast.,Antalya,1,0,"79,63","79,63",Akdeniz Bölgesi
494,1.12.2020,Akseki İlçe Devlet Hast.,Antalya,2,0,"79,64","80,44",Akdeniz Bölgesi
495,1.12.2020,Elmalı Devlet Hast.,Antalya,2,0,"79,98","80,36",Akdeniz Bölgesi
496,1.12.2020,Demre Devlet Hast.,Antalya,3,0,"80,15","81,42",Akdeniz Bölgesi
497,1.12.2020,Kaş Devlet Hast.,Antalya,4,0,"80,98","86,2",Akdeniz Bölgesi
498,1.12.2020,Finike Devlet Hast.,Antalya,3,0,"81,02","86,06",Akdeniz Bölgesi
499,1.12.2020,Kumluca Devlet Hast.,Antalya,3,0,"81,46","84,76",Akdeniz Bölgesi
500,1.12.2020,Alanya EAH.,Antalya,19,0,"81,7","86,93",Akdeniz Bölgesi
501,1.12.2020,Korkuteli Devlet Hast.,Antalya,4,0,"82,13","87,66",Akdeniz Bölgesi
502,1.12.2020,Manavgat Devlet Hast.,Antalya,16,0,"82,26","92,27",Akdeniz Bölgesi
503,1.12.2020,Gazipaşa Devlet Hast.,Antalya,2,0,"82,47","86,63",Akdeniz Bölgesi
504,1.12.2020,Antalya İbradı TSM.,Antalya,1,0,"84,42","84,42",Akdeniz Bölgesi
505,1.12.2020,Serik Devlet Hast.,Antalya,4,0,"84,99","87,38",Akdeniz Bölgesi
506,1.12.2020,Kemer Devlet Hast.,Antalya,2,0,"89,45","90,1",Akdeniz Bölgesi
509,1.12.2020,Andırın Devlet Hast.,Kahramanmaraş,11,0,"79,74","83,69",Akdeniz Bölgesi
510,1.12.2020,Afşin Devlet Hast.,Kahramanmaraş,4,0,"79,9","84,63",Akdeniz Bölgesi
511,1.12.2020,Elbistan Devlet Hast.,Kahramanmaraş,9,0,"80,5","82,44",Akdeniz Bölgesi
512,1.12.2020,Göksun Devlet Hast.,Kahramanmaraş,2,0,"80,62","81,89",Akdeniz Bölgesi
513,1.12.2020,Pazarcık Devlet Hast.,Kahramanmaraş,5,0,"81,74","87,37",Akdeniz Bölgesi
514,1.12.2020,Türkoğlu Dr. Kemal Beyazıt Devlet Hast.,Kahramanmaraş,4,0,"84,89","86,98",Akdeniz Bölgesi
565,1.12.2020,Düziçi Devlet Hast.,Osmaniye,3,0,"80,91","81,56",Akdeniz Bölgesi
566,1.12.2020,Osmaniye Devlet Hast.,Osmaniye,6,0,"81,84","88,34",Akdeniz Bölgesi
567,1.12.2020,Osmaniye Sumbas TSM.,Osmaniye,1,0,"83,57","83,57",Akdeniz Bölgesi
568,1.12.2020,Osmaniye Hasanbeyli TSM.,Osmaniye,1,0,"90,38","90,38",Akdeniz Bölgesi
577,1.12.2020,Gölhisar Devlet Hast.,Burdur,2,0,"81,43","82,2",Akdeniz Bölgesi
578,1.12.2020,Bucak Devlet Hast.,Burdur,4,0,"82,48","85,47",Akdeniz Bölgesi
579,1.12.2020,Burdur Devlet Hast.,Burdur,4,0,"82,52","85,68",Akdeniz Bölgesi
580,1.12.2020,Burdur Yeşilova TSM.,Burdur,1,0,"84,79","84,79",Akdeniz Bölgesi
603,1.12.2020,Mut Devlet Hast.,Mersin,2,0,"82,1","82,14",Akdeniz Bölgesi
604,1.12.2020,Tarsus Devlet Hast.,Mersin,15,0,"82,18","86,54",Akdeniz Bölgesi
605,1.12.2020,Mersin Şehir Hast.,Mersin,45,0,"82,88","87,78",Akdeniz Bölgesi
