,HISTORY,HOSPITALS,CITIES,QUOATA,MIN,MAX,REGIONS
0,16.12.2021,Isparta Gelendost İlçe Devlet Hast. Yenice Sağlık Evi,Isparta,1,"71,3","71,3",Akdeniz Bölgesi
1,16.12.2021,Isparta Yalvaç İlçe Sağlık Müd. Yukarı Kaşıkara Sağlık Evi,Isparta,1,"71,7","71,7",Akdeniz Bölgesi
2,16.12.2021,İsparta Yalvaç İlçe Sağlık Müd. Kuruyaka Sağlık Evi,Isparta,1,"71,72","71,72",Akdeniz Bölgesi
3,16.12.2021,Isparta Sütçüler İlçe Devlet Hast.i Yeşilyurt (Sığırcık) Sağlık Evi,Isparta,1,"71,73","71,73",Akdeniz Bölgesi
4,16.12.2021,Isparta Gelendost İlçe Devlet Hast. Çaltı Sağlık Evi,Isparta,1,"71,85","71,85",Akdeniz Bölgesi
5,16.12.2021,İsparta Yalvaç İlçe Sağlık Müd. A.Kaşıkara Sağlık Evi,Isparta,1,"72,13","72,13",Akdeniz Bölgesi
6,16.12.2021,Isparta Şarkikaraağaç TSM. Belceğiz Sağlık Evi,Isparta,1,"72,51","72,51",Akdeniz Bölgesi
7,16.12.2021,İsparta Yalvaç İlçe Sağlık Müd. Eyüpler Sağlık Evi,Isparta,1,"72,6","72,6",Akdeniz Bölgesi
8,16.12.2021,Isparta Sütçüler İlçe Devlet Hast. Çobanisa Sağlık Evi,Isparta,1,"72,67","72,67",Akdeniz Bölgesi
9,16.12.2021,Isparta Yalvaç İlçe Sağlık Müd. Kuyucak Sağlık Evi,Isparta,1,"72,96","72,96",Akdeniz Bölgesi
10,16.12.2021,Isparta Gelendost İlçe Devlet Hast. Yaka Sağlık Evi,Isparta,1,"73,55","73,55",Akdeniz Bölgesi
11,16.12.2021,Isparta Şarkikaraağaç TSM. Yukarıdinek Sağlık Evi,Isparta,1,"73,67","73,67",Akdeniz Bölgesi
12,16.12.2021,Şarkikaraağaç Dr. Sadettin Bilgiç Devlet Hast.,Isparta,1,"74,03","74,03",Akdeniz Bölgesi
13,16.12.2021,Isparta Şarkikaraağaç TSM. Salur Sağlık Evi,Isparta,1,"74,53","74,53",Akdeniz Bölgesi
14,16.12.2021,Isparta Eğirdir İlçe Sağlık Müd. Yuvalı Sağlık Evi,Isparta,1,"74,66","74,66",Akdeniz Bölgesi
15,16.12.2021,Isparta Senirkent İlçe Devlet Hast. Uluğbey Sağlık Evi,Isparta,1,"74,9","74,9",Akdeniz Bölgesi
16,16.12.2021,Isparta Eğirdir İlçe Sağlık Müd. Gökçehüyük Sağlık Evi,Isparta,1,"75,39","75,39",Akdeniz Bölgesi
17,16.12.2021,Isparta Şarkikaraağaç TSM. Fele Sağlık Evi,Isparta,1,"75,53","75,53",Akdeniz Bölgesi
18,16.12.2021,Isparta Şarkikaraağaç TSM.,Isparta,1,"75,54","75,54",Akdeniz Bölgesi
19,16.12.2021,Yalvaç Devlet Hast.,Isparta,3,"76,05","76,69",Akdeniz Bölgesi
20,16.12.2021,Sütçüler İlçe Devlet Hast.,Isparta,1,"76,35","76,35",Akdeniz Bölgesi
21,16.12.2021,Isparta Gelendost İlçe Devlet Hast. Balcı Sağlık Evi,Isparta,1,"76,4","76,4",Akdeniz Bölgesi
22,16.12.2021,Senirkent İlçe Devlet Hast.,Isparta,1,"76,46","76,46",Akdeniz Bölgesi
23,16.12.2021,Uluborlu İlçe Devlet Hast.,Isparta,1,"77,44","77,44",Akdeniz Bölgesi
24,16.12.2021,Isparta Eğirdir İlçe Sağlık Müd. Ağılköy Sağlık Evi,Isparta,1,"78,97","78,97",Akdeniz Bölgesi
25,16.12.2021,Gelendost İlçe Devlet Hast.,Isparta,1,"79,07","79,07",Akdeniz Bölgesi
205,16.12.2021,Kahramanmaraş Çağlayancerit TSM. Oruçpınar Sağlık Evi,Kahramanmaraş,1,"72,21","72,21",Akdeniz Bölgesi
206,16.12.2021,Kahramanmaraş Dulkadiroğlu İlçe Sağlık Müd. Karamanlı Sağlık Evi,Kahramanmaraş,1,"73,11","73,11",Akdeniz Bölgesi
207,16.12.2021,Kahramanmaraş Dulkadiroğlu İlçe Sağlık Müd. Camuzlu (Bahçeli) Sağlık Evi,Kahramanmaraş,1,"73,8","73,8",Akdeniz Bölgesi
208,16.12.2021,Kahramanmaraş Pazarcık İlçe Sağlık Müd. Gülhaşkarahöyük Sağlık Evi,Kahramanmaraş,1,"73,98","73,98",Akdeniz Bölgesi
209,16.12.2021,Ekinözü İlçe Devlet Hast.,Kahramanmaraş,1,"74,63","74,63",Akdeniz Bölgesi
210,16.12.2021,Çağlayancerit İlçe Devlet Hast.,Kahramanmaraş,6,"74,67","76,98",Akdeniz Bölgesi
211,16.12.2021,Kahramanmaraş Onikişubat İlçe Sağlık Müd. Kısıklı Sağlık Evi,Kahramanmaraş,1,"74,77","74,77",Akdeniz Bölgesi
212,16.12.2021,Kahramanmaraş Elbistan İlçe Sağlık Müd. Gücük Sağlık Evi,Kahramanmaraş,1,"74,99","74,99",Akdeniz Bölgesi
213,16.12.2021,Kahramanmaraş Elbistan İlçe Sağlık Müd. Güvercinlik Sağlık Evi,Kahramanmaraş,1,"75,18","75,18",Akdeniz Bölgesi
214,16.12.2021,Afşin Devlet Hast.,Kahramanmaraş,8,"75,28","77,11",Akdeniz Bölgesi
215,16.12.2021,Elbistan Devlet Hast.,Kahramanmaraş,18,"75,81","86,01",Akdeniz Bölgesi
216,16.12.2021,Kahramanmaraş Pazarcık İlçe Sağlık Müd. Akçalar Sağlık Evi,Kahramanmaraş,1,"75,95","75,95",Akdeniz Bölgesi
217,16.12.2021,Nurhak İlçe Devlet Hast.,Kahramanmaraş,1,"75,99","75,99",Akdeniz Bölgesi
218,16.12.2021,Pazarcık Devlet Hast.,Kahramanmaraş,13,"76,13","86,69",Akdeniz Bölgesi
219,16.12.2021,Kahramanmaraş Andırın İlçe Sağlık Müd. Kumarlı Sağlık Evi,Kahramanmaraş,1,"76,28","76,28",Akdeniz Bölgesi
220,16.12.2021,Kahramanmaraş Pazarcık İlçe Sağlık Müd. Akdemir Sağlık Evi,Kahramanmaraş,1,"78,46","78,46",Akdeniz Bölgesi
221,16.12.2021,Türkoğlu Dr. Kemal Beyazıt Devlet Hast.,Kahramanmaraş,2,"78,98","82,86",Akdeniz Bölgesi
222,16.12.2021,Kahramanmaraş Necip Fazıl Şehir Hast.,Kahramanmaraş,7,"79,12","83,73",Akdeniz Bölgesi
223,16.12.2021,Kahramanmaraş Çağlayancerit TSM.,Kahramanmaraş,1,"83,37","83,37",Akdeniz Bölgesi
626,16.12.2021,Tufanbeyli Devlet Hast.,Adana,7,"74,55","76,91",Akdeniz Bölgesi
627,16.12.2021,Pozantı 80.Yıl Devlet Hast.,Adana,4,"76,89","78,4",Akdeniz Bölgesi
628,16.12.2021,Kozan Devlet Hast.,Adana,11,"77,33","83,42",Akdeniz Bölgesi
629,16.12.2021,Ceyhan Devlet Hast.,Adana,7,"78,24","83,73",Akdeniz Bölgesi
630,16.12.2021,Adana Yüreğir Devlet Hast.,Adana,5,"78,63","81,36",Akdeniz Bölgesi
631,16.12.2021,Adana Şehir Hast.,Adana,68,"78,73","86,24",Akdeniz Bölgesi
632,16.12.2021,İmamoğlu Devlet Hast.,Adana,1,"80,38","80,38",Akdeniz Bölgesi
633,16.12.2021,Adana Dr.Ekrem Tok Ruh Sağ.ve Hastal.Hast.,Adana,2,"80,62","82,38",Akdeniz Bölgesi
