,HOSPITALS,CITIES,QUOATA,MIN,MAX,REGIONS
284,Adana Yüreğir Devlet Hast.,Adana,25,"78,63","81,36",Akdeniz Bölgesi
285,Adana Şehir Hast.,Adana,153,"78,73","86,24",Akdeniz Bölgesi
283,İmamoğlu Devlet Hast.,Adana,4,"80,38","80,38",Akdeniz Bölgesi
282,Tufanbeyli Devlet Hast.,Adana,11,"74,55","76,91",Akdeniz Bölgesi
395,Kahta Devlet Hast.,Adıyaman,8,"82,15","83,57",Güneydoğu Anadolu Bölgesi
394,Kahta Göçeri İlçe Devlet Hast.,Adıyaman,5,"79,84","81,73",Güneydoğu Anadolu Bölgesi
393,Sincik İlçe Devlet Hast.,Adıyaman,5,"81,54","84,95",Güneydoğu Anadolu Bölgesi
392,Gerger İlçe Devlet Hast.,Adıyaman,5,"78,47","78,53",Güneydoğu Anadolu Bölgesi
214,Afyonkarahisar Devlet Hast.,Afyonkarahisar,29,"77,41","80,76",Ege Bölgesi
212,Dinar Devlet Hast.,Afyonkarahisar,6,"75,8","78,79",Ege Bölgesi
209,Emirdağ Devlet Hast.,Afyonkarahisar,7,"74,57","75,64",Ege Bölgesi
215,Bolvadin Dr.Halil İbrahim Özsoy Devlet Hast.,Afyonkarahisar,4,"76,13","77,67",Ege Bölgesi
210,Şuhut Devlet Hast.,Afyonkarahisar,7,"75,04","77,32",Ege Bölgesi
211,Sandıklı Devlet Hast.,Afyonkarahisar,6,"76,56","77,16",Ege Bölgesi
213,Sinanpaşa Devlet Hast.,Afyonkarahisar,3,"75,42","75,77",Ege Bölgesi
140,Aksaray Ortaköy İlçe Sağlık Müd.,Aksaray,3,"76,62","76,62",İç Anadolu Bölgesi
134,Güzelyurt İlçe Devlet Hast.,Aksaray,3,"74,26","74,31",İç Anadolu Bölgesi
135,Aksaray EAH.,Aksaray,163,"75,08","86,28",İç Anadolu Bölgesi
136,Sarıyahşi İlçe Devlet Hast.,Aksaray,2,"74,84","74,84",İç Anadolu Bölgesi
137,Aksaray Sultanhanı TSM.,Aksaray,5,"75,35","76,78",İç Anadolu Bölgesi
138,Aksaray Eskil TSM.,Aksaray,3,"76,49","76,49",İç Anadolu Bölgesi
139,Aksaray Gülağaç TSM.,Aksaray,2,"75,37","75,37",İç Anadolu Bölgesi
133,Ağaçören İlçe Devlet Hast.,Aksaray,2,"74,55","74,55",İç Anadolu Bölgesi
391,Suluova Devlet Hast.,Amasya,6,"74,99","75,36",Karadeniz Bölgesi
389,Merzifon Kara Mustafa Paşa Devlet Hast.,Amasya,9,"76,01","79,49",Karadeniz Bölgesi
390,Amasya Sabuncuoğlu Şerefeddin EAH.,Amasya,23,"75,71","84,51",Karadeniz Bölgesi
73,Kahramankazan Hamdi Eriş Devlet Hast.,Ankara,18,"74,8","83,33",İç Anadolu Bölgesi
72,Ayaş Şehit Mehmet Çifci Devlet Hast.,Ankara,4,"74,93","74,93",İç Anadolu Bölgesi
60,Ankara Dr. Abdurrahman Yurtaslan Onkoloji EAH.,Ankara,312,"73,57","82,03",İç Anadolu Bölgesi
76,Sincan Dr. Nafiz Körez Devlet Hast.,Ankara,12,"81,23","85,27",İç Anadolu Bölgesi
75,Haymana Devlet Hast.,Ankara,3,"73,06","75,39",İç Anadolu Bölgesi
74,Çubuk Halil Şıvgın Devlet Hast.,Ankara,4,"82,61","82,61",İç Anadolu Bölgesi
59,Ankara Şehir Hast.,Ankara,534,"75,44","87,57",İç Anadolu Bölgesi
71,Kızılcahamam Devlet Hast.,Ankara,4,"73,57","73,73",İç Anadolu Bölgesi
67,Ankara Keçiören EAH.,Ankara,18,"86,13","89,91",İç Anadolu Bölgesi
61,Ankara Dışkapı Yıldırım Beyazıt EAH.,Ankara,487,"73,89","83,42",İç Anadolu Bölgesi
62,Ankara EAH.,Ankara,91,"79,49","81,04",İç Anadolu Bölgesi
64,Nallıhan Devlet Hast.,Ankara,2,"72,4","72,4",İç Anadolu Bölgesi
65,Elmadağ Dr. Hulusi Alataş Devlet Hast.,Ankara,5,"79,62","80,86",İç Anadolu Bölgesi
66,Polatlı Duatepe Devlet Hast.,Ankara,10,"75,86","77,35",İç Anadolu Bölgesi
63,Şereflikoçhisar Devlet Hast.,Ankara,5,"74,96","77,74",İç Anadolu Bölgesi
68,Beypazarı Devlet Hast.,Ankara,3,"77,64","77,64",İç Anadolu Bölgesi
69,Ankara Evren TSM.,Ankara,2,"78,71","78,71",İç Anadolu Bölgesi
70,Ankara Gülhane EAH.,Ankara,63,"81,49","92,11",İç Anadolu Bölgesi
356,Elmalı Devlet Hast.,Antalya,4,"79,4","80,3",Akdeniz Bölgesi
355,Akseki İlçe Devlet Hast.,Antalya,3,"78,78","78,78",Akdeniz Bölgesi
357,Demre Devlet Hast.,Antalya,5,"80,77","80,77",Akdeniz Bölgesi
360,Korkuteli Devlet Hast.,Antalya,5,"80,9","80,9",Akdeniz Bölgesi
359,Alanya EAH.,Antalya,35,"78,96","83,8",Akdeniz Bölgesi
361,Serik Devlet Hast.,Antalya,6,"80,96","81,26",Akdeniz Bölgesi
358,Finike Devlet Hast.,Antalya,8,"81,27","88,18",Akdeniz Bölgesi
2,Ardahan Devlet Hast.,Ardahan,17,"73,07","73,87",Doğu Anadolu Bölgesi
3,Ardahan Çıldır TSM.,Ardahan,2,"72,43","72,43",Doğu Anadolu Bölgesi
0,Posof İlçe Devlet Hast.,Ardahan,2,"71,98","71,98",Doğu Anadolu Bölgesi
1,Göle Devlet Hast.,Ardahan,4,"72,5","72,8",Doğu Anadolu Bölgesi
126,Borçka Devlet Hast.,Artvin,2,72,72,Karadeniz Bölgesi
125,Yusufeli Devlet Hast.,Artvin,3,"72,99","73,54",Karadeniz Bölgesi
127,Artvin Devlet Hast.,Artvin,8,"73,17","73,2",Karadeniz Bölgesi
129,Şavşat Devlet Hast.,Artvin,3,"73,42","76,76",Karadeniz Bölgesi
128,Hopa Devlet Hast.,Artvin,4,"73,16","74,51",Karadeniz Bölgesi
