,HISTORY,HOSPITALS,CITIES,QUOATA,MIN,MAX,REGIONS
98,16.12.2021,İspir Devlet Hast.,Erzurum,1,"71,6","71,6",Doğu Anadolu Bölgesi
99,16.12.2021,Karayazı Türk Eczacıları Birliği İlçe Devlet Hast.,Erzurum,1,"71,8","71,8",Doğu Anadolu Bölgesi
100,16.12.2021,Karaçoban İlçe Devlet Hast.,Erzurum,2,"72,45","74,18",Doğu Anadolu Bölgesi
101,16.12.2021,Tortum İlçe Devlet Hast.,Erzurum,2,"73,7","74,64",Doğu Anadolu Bölgesi
102,16.12.2021,Horasan Devlet Hast.,Erzurum,2,"74,27","75,2",Doğu Anadolu Bölgesi
103,16.12.2021,Tekman Şehit Piyade Çavuş Muhammet Binici Devlet Hast.,Erzurum,2,"74,33","75,13",Doğu Anadolu Bölgesi
104,16.12.2021,Aşkale İlçe Devlet Hast.,Erzurum,1,"74,41","74,41",Doğu Anadolu Bölgesi
105,16.12.2021,Hınıs Şehit Yavuz Yürekseven Devlet Hast.,Erzurum,2,"74,56","80,62",Doğu Anadolu Bölgesi
106,16.12.2021,Pasinler İbrahim Hakkı Devlet Hast.,Erzurum,2,"74,62","74,89",Doğu Anadolu Bölgesi
107,16.12.2021,Erzurum Bölge EAH.,Erzurum,23,"75,28","85,07",Doğu Anadolu Bölgesi
108,16.12.2021,Çat İlçe Devlet Hast.,Erzurum,1,"76,84","76,84",Doğu Anadolu Bölgesi
109,16.12.2021,Erzurum Mareşal Çakmak Devlet Hast.,Erzurum,2,"84,79","86,05",Doğu Anadolu Bölgesi
159,16.12.2021,Posof İlçe Devlet Hast.,Ardahan,1,"71,98","71,98",Doğu Anadolu Bölgesi
160,16.12.2021,Ardahan Çıldır TSM.,Ardahan,1,"72,43","72,43",Doğu Anadolu Bölgesi
161,16.12.2021,Göle Devlet Hast.,Ardahan,2,"72,5","72,8",Doğu Anadolu Bölgesi
162,16.12.2021,Ardahan Devlet Hast.,Ardahan,12,"73,07","73,87",Doğu Anadolu Bölgesi
163,16.12.2021,Hamur İlçe Devlet Hast.,Ağrı,2,"72,04","72,95",Doğu Anadolu Bölgesi
164,16.12.2021,Ağrı Diyadin İlçe Sağlık Müd.,Ağrı,1,"72,07","72,07",Doğu Anadolu Bölgesi
165,16.12.2021,Eleşkirt İlçe Devlet Hast.,Ağrı,2,"72,2","73,08",Doğu Anadolu Bölgesi
166,16.12.2021,Tutak İlçe Devlet Hast.,Ağrı,2,"72,36","72,67",Doğu Anadolu Bölgesi
167,16.12.2021,Ağrı Tutak İlçe Sağlık Müd.,Ağrı,1,"72,42","72,42",Doğu Anadolu Bölgesi
168,16.12.2021,Diyadin Devlet Hast.,Ağrı,9,"72,91","78,7",Doğu Anadolu Bölgesi
169,16.12.2021,Patnos Devlet Hast.,Ağrı,13,"73,69","80,51",Doğu Anadolu Bölgesi
170,16.12.2021,Doğubayazıt Dr.Yaşar Eryılmaz Devlet Hast.,Ağrı,13,"73,83","87,84",Doğu Anadolu Bölgesi
171,16.12.2021,Taşlıçay İlçe Devlet Hast.,Ağrı,2,"74,53","76,35",Doğu Anadolu Bölgesi
172,16.12.2021,Ağrı EAH.,Ağrı,35,"74,68","84,02",Doğu Anadolu Bölgesi
173,16.12.2021,Ağrı Eleşkirt İlçe Sağlık Müd.,Ağrı,1,"87,92","87,92",Doğu Anadolu Bölgesi
192,16.12.2021,Digor İlçe Devlet Hast.,Kars,6,"72,15","72,86",Doğu Anadolu Bölgesi
193,16.12.2021,Kars Arpaçay TSM.,Kars,1,"72,21","72,21",Doğu Anadolu Bölgesi
194,16.12.2021,Kars Digor TSM.,Kars,1,"72,28","72,28",Doğu Anadolu Bölgesi
195,16.12.2021,Akyaka İlçe Devlet Hast.,Kars,1,"72,38","72,38",Doğu Anadolu Bölgesi
196,16.12.2021,Arpaçay İlçe Devlet Hast.,Kars,6,"72,5","72,89",Doğu Anadolu Bölgesi
197,16.12.2021,Selim İlçe Devlet Hast.,Kars,4,"73,02","73,56",Doğu Anadolu Bölgesi
198,16.12.2021,Sarıkamış Devlet Hast.,Kars,4,"73,38","81,37",Doğu Anadolu Bölgesi
199,16.12.2021,Harakani Devlet Hast.,Kars,22,"73,96","87,99",Doğu Anadolu Bölgesi
200,16.12.2021,Kağızman Devlet Hast.,Kars,2,"74,75","76,11",Doğu Anadolu Bölgesi
201,16.12.2021,Kars Susuz TSM.,Kars,1,"76,48","76,48",Doğu Anadolu Bölgesi
202,16.12.2021,Kars Sarıkamış İlçe Sağlık Müd.,Kars,1,"77,65","77,65",Doğu Anadolu Bölgesi
203,16.12.2021,Kars Selim TSM.,Kars,1,"77,91","77,91",Doğu Anadolu Bölgesi
204,16.12.2021,Kars Kağızman İlçe Sağlık Müd.,Kars,1,"79,18","79,18",Doğu Anadolu Bölgesi
263,16.12.2021,Tunceli Nazımiye Şehit Ali Rıza Güneş TSM.,Tunceli,1,"72,41","72,41",Doğu Anadolu Bölgesi
264,16.12.2021,Ovacık İlçe Devlet Hast.,Tunceli,1,"75,34","75,34",Doğu Anadolu Bölgesi
265,16.12.2021,Tunceli Devlet Hast.,Tunceli,2,"77,89","79,56",Doğu Anadolu Bölgesi
266,16.12.2021,Derecik Devlet Hast.,Hakkari,13,"72,46","74,3",Doğu Anadolu Bölgesi
267,16.12.2021,Çukurca Devlet Hast.,Hakkari,6,"73,4","74,75",Doğu Anadolu Bölgesi
268,16.12.2021,Şemdinli Devlet Hast.,Hakkari,6,"74,77","85,9",Doğu Anadolu Bölgesi
269,16.12.2021,Hakkari Devlet Hast.,Hakkari,10,"74,91","82,84",Doğu Anadolu Bölgesi
270,16.12.2021,Yüksekova Devlet Hast.,Hakkari,10,"75,14","79,57",Doğu Anadolu Bölgesi
271,16.12.2021,İliç İlçe Devlet Hast.,Erzincan,2,"72,48","73,4",Doğu Anadolu Bölgesi
272,16.12.2021,Kemah İlçe Devlet Hast.,Erzincan,2,"72,5","72,76",Doğu Anadolu Bölgesi
273,16.12.2021,Otlukbeli İlçe Devlet Hast.,Erzincan,1,"72,96","72,96",Doğu Anadolu Bölgesi
274,16.12.2021,Tercan İlçe Devlet Hast.,Erzincan,4,"73,03","75,31",Doğu Anadolu Bölgesi
275,16.12.2021,Çayırlı İlçe Devlet Hast.,Erzincan,1,"73,08","73,08",Doğu Anadolu Bölgesi
276,16.12.2021,Refahiye Dr. Fahrettin Uğur İlçe Devlet Hast.,Erzincan,4,"73,39","73,66",Doğu Anadolu Bölgesi
277,16.12.2021,Kemaliye İlçe Devlet Hast.,Erzincan,2,"73,68","75,34",Doğu Anadolu Bölgesi
278,16.12.2021,Üzümlü İlçe Devlet Hast.,Erzincan,1,"74,1","74,1",Doğu Anadolu Bölgesi
279,16.12.2021,Erzincan Mengücek Gazi EAH,Erzincan,53,"74,42","82,99",Doğu Anadolu Bölgesi
