,HISTORY,HOSPITALS,CITIES,TOTAL QUOATA,VACANT,LOWEST POINT,HIGHEST POINT,REGIONS
231,1.12.2020,Karahallı Hacı Rafet Zora İlçe Devlet Hast.,Uşak,2,0,"76,84","76,89",Ege Bölgesi
232,1.12.2020,Eşme Devlet Hast.,Uşak,4,0,"77,06","79,12",Ege Bölgesi
233,1.12.2020,Ulubey İlçe Devlet Hast.,Uşak,2,0,"77,28","77,83",Ege Bölgesi
234,1.12.2020,Sivaslı İlçe Devlet Hast.,Uşak,4,0,"77,42","78,41",Ege Bölgesi
235,1.12.2020,Banaz Devlet Hast.,Uşak,4,0,"78,05","84,26",Ege Bölgesi
236,1.12.2020,Uşak EAH.,Uşak,33,0,"78,13","84,48",Ege Bölgesi
293,1.12.2020,Emet Dr.Fazıl Doğan Devlet Hast.,Kütahya,2,0,"77,34","77,63",Ege Bölgesi
294,1.12.2020,Tavşanlı Doç. Dr.Mustafa Kalemli Devlet Hast.,Kütahya,16,0,"77,36","81,35",Ege Bölgesi
295,1.12.2020,Kütahya Evliya Çelebi EAH.,Kütahya,60,0,"77,42","88,27",Ege Bölgesi
296,1.12.2020,Gediz Devlet Hast.,Kütahya,2,0,"80,7","82,92",Ege Bölgesi
297,1.12.2020,Emirdağ Devlet Hast.,Afyonkarahisar,1,0,"77,4","77,4",Ege Bölgesi
298,1.12.2020,Şuhut Devlet Hast.,Afyonkarahisar,2,0,"78,07","78,61",Ege Bölgesi
299,1.12.2020,Sandıklı Devlet Hast.,Afyonkarahisar,2,0,"78,31","79,06",Ege Bölgesi
300,1.12.2020,Dinar Devlet Hast.,Afyonkarahisar,2,0,"78,4","79,7",Ege Bölgesi
301,1.12.2020,Sinanpaşa Devlet Hast.,Afyonkarahisar,1,0,"78,66","78,66",Ege Bölgesi
302,1.12.2020,Afyonkarahisar Devlet Hast.,Afyonkarahisar,19,0,"79,08","84,75",Ege Bölgesi
303,1.12.2020,Bolvadin Dr.Halil İbrahim Özsoy Devlet Hast.,Afyonkarahisar,2,0,"82,94","85,44",Ege Bölgesi
