,HISTORY,HOSPITALS,CITIES,QUOATA,MIN,MAX,REGIONS
0,16.12.2021,Isparta Gelendost İlçe Devlet Hast. Yenice Sağlık Evi,Isparta,1,"71,3","71,3",Akdeniz Bölgesi
1,16.12.2021,Isparta Yalvaç İlçe Sağlık Müd. Yukarı Kaşıkara Sağlık Evi,Isparta,1,"71,7","71,7",Akdeniz Bölgesi
2,16.12.2021,İsparta Yalvaç İlçe Sağlık Müd. Kuruyaka Sağlık Evi,Isparta,1,"71,72","71,72",Akdeniz Bölgesi
3,16.12.2021,Isparta Sütçüler İlçe Devlet Hast.i Yeşilyurt (Sığırcık) Sağlık Evi,Isparta,1,"71,73","71,73",Akdeniz Bölgesi
4,16.12.2021,Isparta Gelendost İlçe Devlet Hast. Çaltı Sağlık Evi,Isparta,1,"71,85","71,85",Akdeniz Bölgesi
5,16.12.2021,İsparta Yalvaç İlçe Sağlık Müd. A.Kaşıkara Sağlık Evi,Isparta,1,"72,13","72,13",Akdeniz Bölgesi
6,16.12.2021,Isparta Şarkikaraağaç TSM. Belceğiz Sağlık Evi,Isparta,1,"72,51","72,51",Akdeniz Bölgesi
7,16.12.2021,İsparta Yalvaç İlçe Sağlık Müd. Eyüpler Sağlık Evi,Isparta,1,"72,6","72,6",Akdeniz Bölgesi
8,16.12.2021,Isparta Sütçüler İlçe Devlet Hast. Çobanisa Sağlık Evi,Isparta,1,"72,67","72,67",Akdeniz Bölgesi
9,16.12.2021,Isparta Yalvaç İlçe Sağlık Müd. Kuyucak Sağlık Evi,Isparta,1,"72,96","72,96",Akdeniz Bölgesi
10,16.12.2021,Isparta Gelendost İlçe Devlet Hast. Yaka Sağlık Evi,Isparta,1,"73,55","73,55",Akdeniz Bölgesi
11,16.12.2021,Isparta Şarkikaraağaç TSM. Yukarıdinek Sağlık Evi,Isparta,1,"73,67","73,67",Akdeniz Bölgesi
12,16.12.2021,Şarkikaraağaç Dr. Sadettin Bilgiç Devlet Hast.,Isparta,1,"74,03","74,03",Akdeniz Bölgesi
13,16.12.2021,Isparta Şarkikaraağaç TSM. Salur Sağlık Evi,Isparta,1,"74,53","74,53",Akdeniz Bölgesi
14,16.12.2021,Isparta Eğirdir İlçe Sağlık Müd. Yuvalı Sağlık Evi,Isparta,1,"74,66","74,66",Akdeniz Bölgesi
15,16.12.2021,Isparta Senirkent İlçe Devlet Hast. Uluğbey Sağlık Evi,Isparta,1,"74,9","74,9",Akdeniz Bölgesi
16,16.12.2021,Isparta Eğirdir İlçe Sağlık Müd. Gökçehüyük Sağlık Evi,Isparta,1,"75,39","75,39",Akdeniz Bölgesi
17,16.12.2021,Isparta Şarkikaraağaç TSM. Fele Sağlık Evi,Isparta,1,"75,53","75,53",Akdeniz Bölgesi
18,16.12.2021,Isparta Şarkikaraağaç TSM.,Isparta,1,"75,54","75,54",Akdeniz Bölgesi
19,16.12.2021,Yalvaç Devlet Hast.,Isparta,3,"76,05","76,69",Akdeniz Bölgesi
20,16.12.2021,Sütçüler İlçe Devlet Hast.,Isparta,1,"76,35","76,35",Akdeniz Bölgesi
21,16.12.2021,Isparta Gelendost İlçe Devlet Hast. Balcı Sağlık Evi,Isparta,1,"76,4","76,4",Akdeniz Bölgesi
22,16.12.2021,Senirkent İlçe Devlet Hast.,Isparta,1,"76,46","76,46",Akdeniz Bölgesi
23,16.12.2021,Uluborlu İlçe Devlet Hast.,Isparta,1,"77,44","77,44",Akdeniz Bölgesi
24,16.12.2021,Isparta Eğirdir İlçe Sağlık Müd. Ağılköy Sağlık Evi,Isparta,1,"78,97","78,97",Akdeniz Bölgesi
25,16.12.2021,Gelendost İlçe Devlet Hast.,Isparta,1,"79,07","79,07",Akdeniz Bölgesi
26,16.12.2021,Gaziosmanpaşa EAH.,İstanbul,53,"71,37","84,16",Marmara Bölgesi
27,16.12.2021,Taksim EAH.,İstanbul,30,"71,39","80,86",Marmara Bölgesi
28,16.12.2021,Yedikule Göğüs Hastal. ve Göğüs Cer. EAH,İstanbul,50,"71,39","80,46",Marmara Bölgesi
29,16.12.2021,Esenler Kadın Doğum ve Çocuk Hastal.Hast.,İstanbul,22,"71,45","81,5",Marmara Bölgesi
30,16.12.2021,İstanbul Bağcılar EAH.,İstanbul,74,"71,51","77,75",Marmara Bölgesi
31,16.12.2021,Prof. Dr. Mazhar Osman Ruh Sağ.ve Sinir Hastal.EAH,İstanbul,78,"71,52","81,74",Marmara Bölgesi
32,16.12.2021,Zeynep Kamil Kadın ve Çocuk Hastal.EAH,İstanbul,36,"71,55","77,81",Marmara Bölgesi
33,16.12.2021,İstanbul Haseki EAH.,İstanbul,73,"71,64","82,85",Marmara Bölgesi
34,16.12.2021,Şişli Hamidiye Etfal EAH.,İstanbul,35,"71,64","80,38",Marmara Bölgesi
35,16.12.2021,Göztepe Prof. Dr. Süleyman Yalçın Şehir Hast.,İstanbul,78,"71,72","74,78",Marmara Bölgesi
36,16.12.2021,Esenyurt Necmi Kadıoğlu Devlet Hast.,İstanbul,45,"71,73","79,7",Marmara Bölgesi
37,16.12.2021,İstanbul Fatih Sultan Mehmet EAH.,İstanbul,53,"71,74",78,Marmara Bölgesi
38,16.12.2021,İstanbul Sultan 2. Abdülhamid Han EAH.,İstanbul,54,"71,8","78,3",Marmara Bölgesi
39,16.12.2021,İstanbul Prof. Dr. Cemil Taşcıoğlu Şehir Hast.,İstanbul,85,"71,85","94,02",Marmara Bölgesi
40,16.12.2021,Süreyyapaşa Göğüs Hastal. ve Göğüs Cer. EAH,İstanbul,47,"71,86","75,72",Marmara Bölgesi
41,16.12.2021,İstanbul EAH.,İstanbul,46,"71,91","84,56",Marmara Bölgesi
42,16.12.2021,İstanbul Fizik Tedavi ve Reh.EAH.,İstanbul,106,"72,01","81,29",Marmara Bölgesi
43,16.12.2021,İstanbul Kanuni Sultan Süleyman EAH.,İstanbul,66,"72,01","82,94",Marmara Bölgesi
44,16.12.2021,Marmara Üni. Pendik EAH.,İstanbul,166,"72,32","77,66",Marmara Bölgesi
45,16.12.2021,Ümraniye EAH.,İstanbul,76,"72,35","84,86",Marmara Bölgesi
46,16.12.2021,Arnavutköy Devlet Hast.,İstanbul,24,"72,41","82,89",Marmara Bölgesi
47,16.12.2021,Sancaktepe Şehit Prof. Dr. İlhan Varank EAH.,İstanbul,28,"72,41","79,8",Marmara Bölgesi
48,16.12.2021,İstanbul Dr. Siyami Ersek Göğüs Kalp ve Damar Cer. EAH,İstanbul,33,"72,5","83,86",Marmara Bölgesi
49,16.12.2021,Çatalca İlyas Çokay Devlet Hast.,İstanbul,6,"72,51",80,Marmara Bölgesi
50,16.12.2021,Beylikdüzü Devlet Hast.,İstanbul,34,"72,56","79,15",Marmara Bölgesi
51,16.12.2021,Kartal Koşuyolu Yüksek İhtisas EAH.,İstanbul,54,"72,6","80,36",Marmara Bölgesi
52,16.12.2021,Sultanbeyli Devlet Hast.,İstanbul,50,"72,65","86,95",Marmara Bölgesi
53,16.12.2021,Büyükçekmece Mimar Sinan Devlet Hast.,İstanbul,21,"72,67","79,58",Marmara Bölgesi
54,16.12.2021,Şile Devlet Hast.,İstanbul,5,"72,72","80,57",Marmara Bölgesi
55,16.12.2021,Beykoz Devlet Hast.,İstanbul,27,"72,75","82,19",Marmara Bölgesi
56,16.12.2021,Kartal Dr. Lütfi Kırdar Şehir Hast.,İstanbul,133,"72,83","84,86",Marmara Bölgesi
