,HISTORY,HOSPITALS,CITIES,TOTAL QUOATA,VACANT,LOWEST POINT,HIGHEST POINT,REGIONS
50,1.12.2020,İstanbul EAH.,İstanbul,106,0,"74,42","82,44",Marmara Bölgesi
51,1.12.2020,İstanbul Haseki EAH.,İstanbul,60,0,"74,72","82,78",Marmara Bölgesi
52,1.12.2020,Gaziosmanpaşa EAH.,İstanbul,24,0,"74,78","82,68",Marmara Bölgesi
53,1.12.2020,istanbul Süreyyapaşa Göğüs Hastal.ve Göğüs Cer. EAH.,İstanbul,22,0,"75,56","77,21",Marmara Bölgesi
54,1.12.2020,Arnavutköy Devlet Hast.,İstanbul,23,0,"75,6","82,25",Marmara Bölgesi
55,1.12.2020,istanbul Yedikule Göğüs Hastal.ve Göğüs Cer. EAH.,İstanbul,22,0,"75,63","79,4",Marmara Bölgesi
56,1.12.2020,Başakşehir Çam ve Sakura Şehir Hast.,İstanbul,38,0,"75,67","86,94",Marmara Bölgesi
57,1.12.2020,istanbul Kanuni Sultan Süleyman EAH.,İstanbul,62,0,"75,73","90,34",Marmara Bölgesi
58,1.12.2020,istanbul Sultan 2. Abdülhamid Han EAH.,İstanbul,32,0,"75,78","85,98",Marmara Bölgesi
59,1.12.2020,Sultanbeyli Devlet Hast.,İstanbul,25,0,"76,01","84,81",Marmara Bölgesi
60,1.12.2020,İstanbul Bağcılar EAH.,İstanbul,31,0,"76,08","87,91",Marmara Bölgesi
61,1.12.2020,Göztepe Prof. Dr. Süleyman Yalçın Şehir Hast.,İstanbul,18,0,"76,48","78,6",Marmara Bölgesi
62,1.12.2020,Kağıthane Devlet Hast.,İstanbul,8,0,"76,55","78,42",Marmara Bölgesi
63,1.12.2020,Pendik EAH.,İstanbul,9,0,"76,55","79,54",Marmara Bölgesi
64,1.12.2020,Silivri Devlet Hast.,İstanbul,10,0,"76,78","85,59",Marmara Bölgesi
65,1.12.2020,kartal Dr. Lütfi Kırdar Şehir Hast.,İstanbul,48,0,"76,83","89,5",Marmara Bölgesi
66,1.12.2020,İstanbul Fatih Sultan Mehmet EAH.,İstanbul,11,0,"76,86","81,75",Marmara Bölgesi
67,1.12.2020,Kartal Koşuyolu Yüksek İhtisas EAH.,İstanbul,23,0,"77,03","82,33",Marmara Bölgesi
68,1.12.2020,Çatalca İlyas Çokay Devlet Hast.,İstanbul,6,0,"77,07","81,69",Marmara Bölgesi
69,1.12.2020,Beykoz Devlet Hast.,İstanbul,15,0,"77,11","86,97",Marmara Bölgesi
70,1.12.2020,istanbul Prof. Dr. Cemil Taşcıoğlu Şehir Hast.,İstanbul,16,0,"77,16","84,69",Marmara Bölgesi
71,1.12.2020,İstinye Devlet Hast.,İstanbul,6,0,"77,21","79,12",Marmara Bölgesi
72,1.12.2020,Bayrampaşa Devlet Hast.,İstanbul,18,0,"77,61","87,33",Marmara Bölgesi
73,1.12.2020,Ümraniye EAH.,İstanbul,15,0,"77,86","84,77",Marmara Bölgesi
74,1.12.2020,İstanbul Dr. Siyami Ersek Göğüs Kalp ve Damar Cer.EAH.,İstanbul,17,0,"77,96","85,64",Marmara Bölgesi
75,1.12.2020,Tuzla Devlet Hast.,İstanbul,13,0,"78,1","80,45",Marmara Bölgesi
76,1.12.2020,Erenköy Ruh ve Sinir Hastal. EAH.,İstanbul,6,0,"78,81","83,04",Marmara Bölgesi
77,1.12.2020,Üsküdar Devlet Hast.,İstanbul,10,0,"78,9","88,33",Marmara Bölgesi
78,1.12.2020,Eyüpsultan Devlet Hast.,İstanbul,10,0,"79,13","81,62",Marmara Bölgesi
79,1.12.2020,Esenler Kadın Doğum ve Çocuk Hastal. Hast.,İstanbul,3,0,"79,37","84,02",Marmara Bölgesi
80,1.12.2020,Bahçelievler Devlet Hast.,İstanbul,19,0,"79,45","87,32",Marmara Bölgesi
81,1.12.2020,istanbul Baltalimanı Metin Sabancı Kemik Hastal. EAH.,İstanbul,4,0,"80,44","82,42",Marmara Bölgesi
82,1.12.2020,Başakşehir Devlet Hast.,İstanbul,4,0,"80,51","83,21",Marmara Bölgesi
83,1.12.2020,Büyükçekmece Mimar Sinan Devlet Hast.,İstanbul,6,0,"82,19","85,91",Marmara Bölgesi
130,1.12.2020,Vize Devlet Hast.,Kırklareli,8,0,"75,68","78,43",Marmara Bölgesi
131,1.12.2020,Pınarhisar Devlet Hast.,Kırklareli,8,0,"76,17","77,15",Marmara Bölgesi
132,1.12.2020,Kırklareli EAH.,Kırklareli,19,0,"76,57","81,63",Marmara Bölgesi
133,1.12.2020,Babaeski Devlet Hast.,Kırklareli,4,0,"76,91","77,4",Marmara Bölgesi
134,1.12.2020,Lüleburgaz Devlet Hast.,Kırklareli,16,0,"77,9","80,97",Marmara Bölgesi
166,1.12.2020,Yenipazar İlçe Devlet Hast.,Bilecik,2,0,"76,06","76,53",Marmara Bölgesi
167,1.12.2020,Gölpazarı İlçe Devlet Hast.,Bilecik,2,0,"76,64","76,78",Marmara Bölgesi
168,1.12.2020,Pazaryeri İlçe Devlet Hast.,Bilecik,2,0,"76,88","78,42",Marmara Bölgesi
169,1.12.2020,İnhisar İlçe Devlet Hast.,Bilecik,2,0,"76,96","77,25",Marmara Bölgesi
170,1.12.2020,Osmaneli Mustafa Selahattin Çetintaş Devlet Hast.,Bilecik,5,0,"77,06",79,Marmara Bölgesi
171,1.12.2020,Söğüt Devlet Hast.,Bilecik,2,0,"78,85",79,Marmara Bölgesi
172,1.12.2020,Bilecik Devlet Hast.,Bilecik,7,0,"79,24","81,41",Marmara Bölgesi
173,1.12.2020,Bilecik Osmaneli TSM.,Bilecik,1,0,"80,15","80,15",Marmara Bölgesi
174,1.12.2020,Bozüyük Devlet Hast.,Bilecik,6,0,"80,87","85,14",Marmara Bölgesi
287,1.12.2020,Hendek Devlet Hast.,Sakarya,8,0,"77,22","82,51",Marmara Bölgesi
288,1.12.2020,Sakarya EAH.,Sakarya,129,0,"77,23","84,96",Marmara Bölgesi
289,1.12.2020,Yenikent Devlet Hast.,Sakarya,37,0,"77,61","82,83",Marmara Bölgesi
290,1.12.2020,Toyotasa Acil Yardım Hastanesi,Sakarya,19,0,"77,76","85,87",Marmara Bölgesi
291,1.12.2020,Geyve Devlet Hast.,Sakarya,1,0,"78,67","78,67",Marmara Bölgesi
292,1.12.2020,Karasu Devlet Hast.,Sakarya,2,0,"84,2","86,68",Marmara Bölgesi
324,1.12.2020,Kandıra Ecz. Kazım Dinç Devlet Hast.,Kocaeli,3,0,"77,87","79,06",Marmara Bölgesi
325,1.12.2020,Dilovası Devlet Hast.,Kocaeli,3,0,"78,31","78,71",Marmara Bölgesi
326,1.12.2020,Gebze Fatih Devlet Hast.,Kocaeli,8,0,"79,13","83,93",Marmara Bölgesi
327,1.12.2020,Kocaeli Dilovası İlçe Sağlık Müd.,Kocaeli,6,0,"79,27","80,79",Marmara Bölgesi
328,1.12.2020,Kocaeli Kandıra İlçe Sağlık Müd.,Kocaeli,2,0,"79,37","83,03",Marmara Bölgesi
329,1.12.2020,Darıca Farabi EAH.,Kocaeli,12,0,"79,38","85,44",Marmara Bölgesi
330,1.12.2020,Gölcük Necati Çelik Devlet Hast.,Kocaeli,11,0,"79,55","83,37",Marmara Bölgesi
331,1.12.2020,Kocaeli Darıca İlçe Sağlık Müd.,Kocaeli,8,0,"79,8","90,45",Marmara Bölgesi
332,1.12.2020,Derince EAH.,Kocaeli,8,0,"79,89","81,64",Marmara Bölgesi
