,HISTORY,HOSPITALS,CITIES,QUOATA,MIN,MAX,REGIONS
26,16.12.2021,Gaziosmanpaşa EAH.,İstanbul,53,"71,37","84,16",Marmara Bölgesi
27,16.12.2021,Taksim EAH.,İstanbul,30,"71,39","80,86",Marmara Bölgesi
28,16.12.2021,Yedikule Göğüs Hastal. ve Göğüs Cer. EAH,İstanbul,50,"71,39","80,46",Marmara Bölgesi
29,16.12.2021,Esenler Kadın Doğum ve Çocuk Hastal.Hast.,İstanbul,22,"71,45","81,5",Marmara Bölgesi
30,16.12.2021,İstanbul Bağcılar EAH.,İstanbul,74,"71,51","77,75",Marmara Bölgesi
31,16.12.2021,Prof. Dr. Mazhar Osman Ruh Sağ.ve Sinir Hastal.EAH,İstanbul,78,"71,52","81,74",Marmara Bölgesi
32,16.12.2021,Zeynep Kamil Kadın ve Çocuk Hastal.EAH,İstanbul,36,"71,55","77,81",Marmara Bölgesi
33,16.12.2021,İstanbul Haseki EAH.,İstanbul,73,"71,64","82,85",Marmara Bölgesi
34,16.12.2021,Şişli Hamidiye Etfal EAH.,İstanbul,35,"71,64","80,38",Marmara Bölgesi
35,16.12.2021,Göztepe Prof. Dr. Süleyman Yalçın Şehir Hast.,İstanbul,78,"71,72","74,78",Marmara Bölgesi
36,16.12.2021,Esenyurt Necmi Kadıoğlu Devlet Hast.,İstanbul,45,"71,73","79,7",Marmara Bölgesi
37,16.12.2021,İstanbul Fatih Sultan Mehmet EAH.,İstanbul,53,"71,74",78,Marmara Bölgesi
38,16.12.2021,İstanbul Sultan 2. Abdülhamid Han EAH.,İstanbul,54,"71,8","78,3",Marmara Bölgesi
39,16.12.2021,İstanbul Prof. Dr. Cemil Taşcıoğlu Şehir Hast.,İstanbul,85,"71,85","94,02",Marmara Bölgesi
40,16.12.2021,Süreyyapaşa Göğüs Hastal. ve Göğüs Cer. EAH,İstanbul,47,"71,86","75,72",Marmara Bölgesi
41,16.12.2021,İstanbul EAH.,İstanbul,46,"71,91","84,56",Marmara Bölgesi
42,16.12.2021,İstanbul Fizik Tedavi ve Reh.EAH.,İstanbul,106,"72,01","81,29",Marmara Bölgesi
43,16.12.2021,İstanbul Kanuni Sultan Süleyman EAH.,İstanbul,66,"72,01","82,94",Marmara Bölgesi
44,16.12.2021,Marmara Üni. Pendik EAH.,İstanbul,166,"72,32","77,66",Marmara Bölgesi
45,16.12.2021,Ümraniye EAH.,İstanbul,76,"72,35","84,86",Marmara Bölgesi
46,16.12.2021,Arnavutköy Devlet Hast.,İstanbul,24,"72,41","82,89",Marmara Bölgesi
47,16.12.2021,Sancaktepe Şehit Prof. Dr. İlhan Varank EAH.,İstanbul,28,"72,41","79,8",Marmara Bölgesi
48,16.12.2021,İstanbul Dr. Siyami Ersek Göğüs Kalp ve Damar Cer. EAH,İstanbul,33,"72,5","83,86",Marmara Bölgesi
49,16.12.2021,Çatalca İlyas Çokay Devlet Hast.,İstanbul,6,"72,51",80,Marmara Bölgesi
50,16.12.2021,Beylikdüzü Devlet Hast.,İstanbul,34,"72,56","79,15",Marmara Bölgesi
51,16.12.2021,Kartal Koşuyolu Yüksek İhtisas EAH.,İstanbul,54,"72,6","80,36",Marmara Bölgesi
52,16.12.2021,Sultanbeyli Devlet Hast.,İstanbul,50,"72,65","86,95",Marmara Bölgesi
