HISTORY,HOSPITALS,CITIES,QUOATA,MIN,MAX,REGIONS
16.12.2021,Adana Yüreğir Devlet Hast.,Adana,5,"78,63","81,36",Akdeniz Bölgesi
16.12.2021,Adana Şehir Hast.,Adana,68,"78,73","86,24",Akdeniz Bölgesi
16.12.2021,Tufanbeyli Devlet Hast.,Adana,7,"74,55","76,91",Akdeniz Bölgesi
16.12.2021,İmamoğlu Devlet Hast.,Adana,1,"80,38","80,38",Akdeniz Bölgesi
16.12.2021,Gerger İlçe Devlet Hast.,Adıyaman,2,"78,47","78,53",Güneydoğu Anadolu Bölgesi
16.12.2021,Kahta Devlet Hast.,Adıyaman,6,"82,15","83,57",Güneydoğu Anadolu Bölgesi
16.12.2021,Kahta Göçeri İlçe Devlet Hast.,Adıyaman,2,"79,84","81,73",Güneydoğu Anadolu Bölgesi
16.12.2021,Sincik İlçe Devlet Hast.,Adıyaman,2,"81,54","84,95",Güneydoğu Anadolu Bölgesi
16.12.2021,Afyonkarahisar Devlet Hast.,Afyonkarahisar,10,"77,41","80,76",Ege Bölgesi
16.12.2021,Bolvadin Dr.Halil İbrahim Özsoy Devlet Hast.,Afyonkarahisar,2,"76,13","77,67",Ege Bölgesi
16.12.2021,Dinar Devlet Hast.,Afyonkarahisar,4,"75,8","78,79",Ege Bölgesi
16.12.2021,Emirdağ Devlet Hast.,Afyonkarahisar,6,"74,57","75,64",Ege Bölgesi
16.12.2021,Sandıklı Devlet Hast.,Afyonkarahisar,4,"76,56","77,16",Ege Bölgesi
16.12.2021,Sinanpaşa Devlet Hast.,Afyonkarahisar,2,"75,42","75,77",Ege Bölgesi
16.12.2021,Şuhut Devlet Hast.,Afyonkarahisar,5,"75,04","77,32",Ege Bölgesi
16.12.2021,Aksaray EAH.,Aksaray,71,"75,08","86,28",İç Anadolu Bölgesi
16.12.2021,Aksaray Eskil TSM.,Aksaray,1,"76,49","76,49",İç Anadolu Bölgesi
16.12.2021,Aksaray Gülağaç TSM.,Aksaray,1,"75,37","75,37",İç Anadolu Bölgesi
16.12.2021,Aksaray Ortaköy İlçe Sağlık Müd.,Aksaray,1,"76,62","76,62",İç Anadolu Bölgesi
16.12.2021,Aksaray Sultanhanı TSM.,Aksaray,3,"75,35","76,78",İç Anadolu Bölgesi
16.12.2021,Ağaçören İlçe Devlet Hast.,Aksaray,1,"74,55","74,55",İç Anadolu Bölgesi
16.12.2021,Güzelyurt İlçe Devlet Hast.,Aksaray,2,"74,26","74,31",İç Anadolu Bölgesi
16.12.2021,Sarıyahşi İlçe Devlet Hast.,Aksaray,1,"74,84","74,84",İç Anadolu Bölgesi
16.12.2021,Amasya Sabuncuoğlu Şerefeddin EAH.,Amasya,16,"75,71","84,51",Karadeniz Bölgesi
16.12.2021,Merzifon Kara Mustafa Paşa Devlet Hast.,Amasya,6,"76,01","79,49",Karadeniz Bölgesi
16.12.2021,Suluova Devlet Hast.,Amasya,4,"74,99","75,36",Karadeniz Bölgesi
16.12.2021,Ankara Dr. Abdurrahman Yurtaslan Onkoloji EAH.,Ankara,216,"73,57","82,03",İç Anadolu Bölgesi
16.12.2021,Ankara Dışkapı Yıldırım Beyazıt EAH.,Ankara,353,"73,89","83,42",İç Anadolu Bölgesi
16.12.2021,Ankara EAH.,Ankara,10,"79,49","81,04",İç Anadolu Bölgesi
16.12.2021,Ankara Evren TSM.,Ankara,1,"78,71","78,71",İç Anadolu Bölgesi
16.12.2021,Ankara Gülhane EAH.,Ankara,10,"81,49","92,11",İç Anadolu Bölgesi
16.12.2021,Ankara Keçiören EAH.,Ankara,2,"86,13","89,91",İç Anadolu Bölgesi
16.12.2021,Ankara Şehir Hast.,Ankara,134,"75,44","87,57",İç Anadolu Bölgesi
16.12.2021,Ayaş Şehit Mehmet Çifci Devlet Hast.,Ankara,1,"74,93","74,93",İç Anadolu Bölgesi
16.12.2021,Beypazarı Devlet Hast.,Ankara,1,"77,64","77,64",İç Anadolu Bölgesi
16.12.2021,Elmadağ Dr. Hulusi Alataş Devlet Hast.,Ankara,2,"79,62","80,86",İç Anadolu Bölgesi
16.12.2021,Haymana Devlet Hast.,Ankara,2,"73,06","75,39",İç Anadolu Bölgesi
16.12.2021,Kahramankazan Hamdi Eriş Devlet Hast.,Ankara,16,"74,8","83,33",İç Anadolu Bölgesi
16.12.2021,Kızılcahamam Devlet Hast.,Ankara,2,"73,57","73,73",İç Anadolu Bölgesi
16.12.2021,Nallıhan Devlet Hast.,Ankara,1,"72,4","72,4",İç Anadolu Bölgesi
16.12.2021,Polatlı Duatepe Devlet Hast.,Ankara,2,"75,86","77,35",İç Anadolu Bölgesi
16.12.2021,Sincan Dr. Nafiz Körez Devlet Hast.,Ankara,10,"81,23","85,27",İç Anadolu Bölgesi
16.12.2021,Çubuk Halil Şıvgın Devlet Hast.,Ankara,1,"82,61","82,61",İç Anadolu Bölgesi
16.12.2021,Şereflikoçhisar Devlet Hast.,Ankara,3,"74,96","77,74",İç Anadolu Bölgesi
16.12.2021,Akseki İlçe Devlet Hast.,Antalya,1,"78,78","78,78",Akdeniz Bölgesi
16.12.2021,Alanya EAH.,Antalya,16,"78,96","83,8",Akdeniz Bölgesi
16.12.2021,Demre Devlet Hast.,Antalya,2,"80,77","80,77",Akdeniz Bölgesi
16.12.2021,Elmalı Devlet Hast.,Antalya,2,"79,4","80,3",Akdeniz Bölgesi
16.12.2021,Finike Devlet Hast.,Antalya,5,"81,27","88,18",Akdeniz Bölgesi
16.12.2021,Korkuteli Devlet Hast.,Antalya,1,"80,9","80,9",Akdeniz Bölgesi
16.12.2021,Serik Devlet Hast.,Antalya,2,"80,96","81,26",Akdeniz Bölgesi
16.12.2021,Ardahan Devlet Hast.,Ardahan,12,"73,07","73,87",Doğu Anadolu Bölgesi
16.12.2021,Ardahan Çıldır TSM.,Ardahan,1,"72,43","72,43",Doğu Anadolu Bölgesi
16.12.2021,Göle Devlet Hast.,Ardahan,2,"72,5","72,8",Doğu Anadolu Bölgesi
16.12.2021,Posof İlçe Devlet Hast.,Ardahan,1,"71,98","71,98",Doğu Anadolu Bölgesi
16.12.2021,Artvin Devlet Hast.,Artvin,4,"73,17","73,2",Karadeniz Bölgesi
16.12.2021,Borçka Devlet Hast.,Artvin,1,72,72,Karadeniz Bölgesi
16.12.2021,Hopa Devlet Hast.,Artvin,2,"73,16","74,51",Karadeniz Bölgesi
16.12.2021,Yusufeli Devlet Hast.,Artvin,2,"72,99","73,54",Karadeniz Bölgesi
16.12.2021,Şavşat Devlet Hast.,Artvin,2,"73,42","76,76",Karadeniz Bölgesi
16.12.2021,Aydın Atatürk Devlet Hast.,Aydın,3,"82,63","85,73",Ege Bölgesi
16.12.2021,Aydın Devlet Hast.,Aydın,2,"81,46","82,4",Ege Bölgesi
16.12.2021,Didim Devlet Hast.,Aydın,2,"80,62","81,71",Ege Bölgesi
16.12.2021,Kuşadası Devlet Hast.,Aydın,2,"80,97","83,04",Ege Bölgesi
16.12.2021,Nazilli Devlet Hast.,Aydın,10,"78,71","88,07",Ege Bölgesi
16.12.2021,Söke Fehime Faik Kocagöz Devlet Hast.,Aydın,2,"79,68","80,76",Ege Bölgesi
16.12.2021,Ağrı EAH.,Ağrı,35,"74,68","84,02",Doğu Anadolu Bölgesi
16.12.2021,Patnos Devlet Hast.,Ağrı,13,"73,69","80,51",Doğu Anadolu Bölgesi
16.12.2021,Tutak İlçe Devlet Hast.,Ağrı,2,"72,36","72,67",Doğu Anadolu Bölgesi
16.12.2021,Ayvalık Devlet Hast.,Balıkesir,2,"79,5","84,8",Marmara Bölgesi
16.12.2021,Balıkesir Atatürk Şehir Hast.,Balıkesir,6,"81,88","85,46",Marmara Bölgesi
16.12.2021,Bigadiç Devlet Hast.,Balıkesir,2,"79,99","80,85",Marmara Bölgesi
16.12.2021,Dursunbey Devlet Hast.,Balıkesir,2,"75,58","76,14",Marmara Bölgesi
16.12.2021,Manyas Devlet Hast.,Balıkesir,2,"77,14","81,32",Marmara Bölgesi
16.12.2021,Susurluk Devlet Hast.,Balıkesir,2,"77,9","79,72",Marmara Bölgesi
16.12.2021,İvrindi Devlet Hast.,Balıkesir,1,"84,08","84,08",Marmara Bölgesi
16.12.2021,Bartın Devlet Hast.,Bartın,10,"75,47","82,73",Karadeniz Bölgesi
16.12.2021,Ulus Şehit Piyade Er Hasan Hüseyin Oğuz İlçe Devlet Hast.,Bartın,1,"74,96","74,96",Karadeniz Bölgesi
16.12.2021,Batman Kozluk İlçe Sağlık Müd.,Batman,1,"79,27","79,27",Güneydoğu Anadolu Bölgesi
16.12.2021,Batman Merkez TSM.,Batman,6,"81,05","83,03",Güneydoğu Anadolu Bölgesi
16.12.2021,Gercüş Devlet Hast.,Batman,2,"80,28","80,79",Güneydoğu Anadolu Bölgesi
16.12.2021,Hasankeyf İlçe Devlet Hast.,Batman,2,"81,04","81,13",Güneydoğu Anadolu Bölgesi
16.12.2021,Kozluk Devlet Hast.,Batman,10,"80,02","81,24",Güneydoğu Anadolu Bölgesi
16.12.2021,Sason Devlet Hast.,Batman,6,"78,5","80,22",Güneydoğu Anadolu Bölgesi
16.12.2021,Bayburt Devlet Hast.,Bayburt,9,"73,32","74,39",Karadeniz Bölgesi
16.12.2021,Bozüyük Devlet Hast.,Bilecik,22,"75,19","80,02",Marmara Bölgesi
16.12.2021,Gölpazarı İlçe Devlet Hast.,Bilecik,1,"73,73","73,73",Marmara Bölgesi
16.12.2021,Osmaneli Mustafa Selahattin Çetintaş Devlet Hast.,Bilecik,4,"74,17","74,96",Marmara Bölgesi
16.12.2021,Pazaryeri İlçe Devlet Hast.,Bilecik,2,"74,47","74,87",Marmara Bölgesi
16.12.2021,Söğüt Devlet Hast.,Bilecik,2,"74,88","75,3",Marmara Bölgesi
16.12.2021,Yenipazar İlçe Devlet Hast.,Bilecik,1,74,74,Marmara Bölgesi
16.12.2021,İnhisar İlçe Devlet Hast.,Bilecik,1,"74,08","74,08",Marmara Bölgesi
16.12.2021,Adaklı İlçe Devlet Hast.,Bingöl,2,"72,96","73,16",Doğu Anadolu Bölgesi
16.12.2021,Bingöl Devlet Hast.,Bingöl,18,"77,18","89,04",Doğu Anadolu Bölgesi
16.12.2021,Genç Devlet Hast.,Bingöl,2,"76,3","76,47",Doğu Anadolu Bölgesi
16.12.2021,Karlıova Devlet Hast.,Bingöl,6,"73,97","75,11",Doğu Anadolu Bölgesi
16.12.2021,Kiğı İlçe Devlet Hast.,Bingöl,1,"73,3","73,3",Doğu Anadolu Bölgesi
